match,red_score,blue_score,red_predict_score,blue_predict_score,,,,,,,,,,,,,,,,,,,,,
1,82,143,106,84,,,,,,,,,,,,,,,,,,,,,
2,123,110,125,132,,,,,,,,,,,,,,,,,,,,,
3,119,117,108,120,,,,,,,,,,,,,,,,,,,,,
4,99,145,115,99,,,,,,,,,,,,,,,,,,,,,
5,205,147,137,106,,,,,,,,,,,,,,,,,,,,,
6,85,129,77,163,,,,,,,,,,,,,,,,,,,,,
7,60,107,64,109,,,,,,,,,,,,,,,,,,,,,
8,143,55,172,108,,,,,,,,,,,,,,,,,,,,,
9,80,111,74,145,,,,,,,,,,,,,,,,,,,,,
10,122,82,123,100,,,,,,,,,,,,,,,,,,,,,
11,132,127,119,103,,,,,,,,,,,,,,,,,,,,,
12,115,100,120,104,,,,,,,,,,,,,,,,,,,,,
13,157,104,120,91,,,,,,,,,,,,,,,,,,,,,
14,110,96,94,93,,,,,,,,,,,,,,,,,,,,,
15,122,93,122,128,,,,,,,,,,,,,,,,,,,,,
16,113,118,134,109,,,,,,,,,,,,,,,,,,,,,
17,168,113,151,116,,,,,,,,,,,,,,,,,,,,,
18,89,189,114,124,,,,,,,,,,,,,,,,,,,,,
19,109,152,110,123,,,,,,,,,,,,,,,,,,,,,
20,134,124,106,105,,,,,,,,,,,,,,,,,,,,,
21,98,189,110,116,,,,,,,,,,,,,,,,,,,,,
22,74,85,113,111,,,,,,,,,,,,,,,,,,,,,
23,135,115,128,158,,,,,,,,,,,,,,,,,,,,,
24,143,87,115,79,,,,,,,,,,,,,,,,,,,,,
25,161,160,135,162,,,,,,,,,,,,,,,,,,,,,
26,105,141,100,118,,,,,,,,,,,,,,,,,,,,,
27,125,93,148,61,,,,,,,,,,,,,,,,,,,,,
28,95,127,119,140,,,,,,,,,,,,,,,,,,,,,
29,141,128,140,103,,,,,,,,,,,,,,,,,,,,,
30,139,153,130,119,,,,,,,,,,,,,,,,,,,,,
31,129,192,111,173,,,,,,,,,,,,,,,,,,,,,
32,80,79,107,95,,,,,,,,,,,,,,,,,,,,,
33,143,115,111,117,,,,,,,,,,,,,,,,,,,,,
34,138,102,120,100,,,,,,,,,,,,,,,,,,,,,
35,138,142,103,114,,,,,,,,,,,,,,,,,,,,,
36,148,174,109,132,,,,,,,,,,,,,,,,,,,,,
37,181,112,141,144,,,,,,,,,,,,,,,,,,,,,
38,107,117,106,106,,,,,,,,,,,,,,,,,,,,,
39,84,114,81,111,,,,,,,,,,,,,,,,,,,,,
40,111,128,155,125,,,,,,,,,,,,,,,,,,,,,
41,147,106,113,99,,,,,,,,,,,,,,,,,,,,,
42,147,133,116,145,,,,,,,,,,,,,,,,,,,,,
43,134,107,165,85,,,,,,,,,,,,,,,,,,,,,
44,191,157,162,123,,,,,,,,,,,,,,,,,,,,,
45,115,116,111,119,,,,,,,,,,,,,,,,,,,,,
46,102,158,86,107,,,,,,,,,,,,,,,,,,,,,
47,111,168,94,125,,,,,,,,,,,,,,,,,,,,,
48,118,114,126,122,,,,,,,,,,,,,,,,,,,,,
49,116,125,112,121,,,,,,,,,,,,,,,,,,,,,
50,133,170,176,149,,,,,,,,,,,,,,,,,,,,,
51,222,171,200,131,,,,,,,,,,,,,,,,,,,,,
52,116,181,114,126,,,,,,,,,,,,,,,,,,,,,
53,158,143,128,130,,,,,,,,,,,,,,,,,,,,,
54,94,47,126,79,,,,,,,,,,,,,,,,,,,,,
55,126,119,120,139,,,,,,,,,,,,,,,,,,,,,
56,210,184,153,137,,,,,,,,,,,,,,,,,,,,,
57,124,216,100,206,,,,,,,,,,,,,,,,,,,,,
58,131,182,92,154,,,,,,,,,,,,,,,,,,,,,
59,138,166,94,158,,,,,,,,,,,,,,,,,,,,,
60,148,103,119,109,,,,,,,,,,,,,,,,,,,,,
61,111,155,155,131,,,,,,,,,,,,,,,,,,,,,
62,117,129,107,135,,,,,,,,,,,,,,,,,,,,,
63,86,100,97,109,,,,,,,,,,,,,,,,,,,,,
64,159,193,152,169,,,,,,,,,,,,,,,,,,,,,
65,166,230,144,169,,,,,,,,,,,,,,,,,,,,,
66,237,165,139,125,,,,,,,,,,,,,,,,,,,,,
67,126,140,137,122,,,,,,,,,,,,,,,,,,,,,
68,168,169,142,171,,,,,,,,,,,,,,,,,,,,,
69,135,128,142,122,,,,,,,,,,,,,,,,,,,,,
70,121,98,115,126,,,,,,,,,,,,,,,,,,,,,
71,44,112,73,139,,,,,,,,,,,,,,,,,,,,,
72,159,96,130,72,,,,,,,,,,,,,,,,,,,,,
73,155,151,155,132,,,,,,,,,,,,,,,,,,,,,
74,161,115,155,142,,,,,,,,,,,,,,,,,,,,,
75,191,180,186,149,,,,,,,,,,,,,,,,,,,,,
76,143,209,117,171,,,,,,,,,,,,,,,,,,,,,
77,140,156,127,123,,,,,,,,,,,,,,,,,,,,,
78,133,96,125,141,,,,,,,,,,,,,,,,,,,,,
79,73,118,76,145,,,,,,,,,,,,,,,,,,,,,
80,104,158,125,138,,,,,,,,,,,,,,,,,,,,,
81,199,186,116,143,,,,,,,,,,,,,,,,,,,,,
82,200,159,184,156,,,,,,,,,,,,,,,,,,,,,
83,133,119,148,131,,,,,,,,,,,,,,,,,,,,,
84,245,156,191,134,,,,,,,,,,,,,,,,,,,,,
85,94,88,149,96,,,,,,,,,,,,,,,,,,,,,
86,136,152,144,117,,,,,,,,,,,,,,,,,,,,,
87,171,146,148,143,,,,,,,,,,,,,,,,,,,,,
88,132,162,114,167,,,,,,,,,,,,,,,,,,,,,
89,121,159,106,121,,,,,,,,,,,,,,,,,,,,,
90,83,161,133,145,,,,,,,,,,,,,,,,,,,,,
91,142,137,186,142,,,,,,,,,,,,,,,,,,,,,
92,129,109,157,122,,,,,,,,,,,,,,,,,,,,,
93,112,149,138,158,,,,,,,,,,,,,,,,,,,,,
94,156,141,126,117,,,,,,,,,,,,,,,,,,,,,
95,131,112,142,127,,,,,,,,,,,,,,,,,,,,,
96,136,92,135,137,,,,,,,,,,,,,,,,,,,,,
97,137,122,133,134,,,,,,,,,,,,,,,,,,,,,
98,170,138,149,146,,,,,,,,,,,,,,,,,,,,,
99,157,148,162,163,,,,,,,,,,,,,,,,,,,,,
100,110,189,113,178,,,,,,,,,,,,,,,,,,,,,
101,119,106,135,113,,,,,,,,,,,,,,,,,,,,,
102,121,143,126,153,,,,,,,,,,,,,,,,,,,,,
103,135,43,123,111,,,,,,,,,,,,,,,,,,,,,
104,227,173,210,181,,,,,,,,,,,,,,,,,,,,,
105,126,143,135,142,,,,,,,,,,,,,,,,,,,,,
106,129,152,129,112,,,,,,,,,,,,,,,,,,,,,
107,153,183,136,163,,,,,,,,,,,,,,,,,,,,,
108,146,175,142,159,,,,,,,,,,,,,,,,,,,,,