Match,R1,R2,R3,B1,B2,B3
1,1111,2534,8590,686,116,540
2,4821,1895,9072,122,10224,2199
3,888,4541,4638,2106,2890,6802
4,2363,8726,1418,614,3793,5804
5,1727,401,836,977,1885,539
6,611,4505,5115,422,5338,1086
7,8622,6863,8230,6326,1908,1731
8,620,3136,1629,346,3748,6213
9,3373,3359,2186,449,8592,339
10,614,9072,686,1111,6802,1895
11,539,4541,5804,8726,8590,1885
12,2106,5115,1418,2890,977,122
13,3793,5338,401,6326,2534,6863
14,8230,3748,10224,8622,346,4638
15,1731,339,888,540,2363,449
16,620,4505,836,3136,611,3373
17,1727,4821,8592,1086,1629,6213
18,3359,2199,1908,116,422,2186
19,8590,1418,614,401,4541,9072
20,686,4638,10224,5338,5115,539
21,346,1885,2890,2363,1731,1111
22,339,977,5804,3136,8230,1895
23,122,836,1086,1629,888,2534
24,116,6863,8592,8622,611,8726
25,3748,2186,620,4821,3793,422
26,2106,6326,3359,1908,3373,1727
27,6802,449,2199,540,6213,4505
28,2890,1418,9072,3136,346,686
29,836,1629,1111,8590,2363,8230
30,977,116,5338,1885,8622,8592
31,1086,401,8726,1731,10224,422
32,2186,611,4821,1895,614,6326
33,2199,5804,6213,2534,339,2106
34,1727,3359,122,4541,4505,3748
35,4638,540,6802,620,6863,3373
36,3793,1908,539,449,5115,888
37,9072,1629,116,977,836,686
38,10224,8726,4821,1111,5338,2890
39,6213,1418,6326,2363,1086,1895
40,401,1731,346,5804,2534,3359
41,3373,122,1885,2186,4638,8230
42,6863,3748,1908,8592,888,4505
43,449,1727,3136,8590,8622,5115
44,339,620,422,539,2106,614
45,6802,4541,3793,2199,540,611
46,2890,3359,116,10224,6213,836
47,4638,3373,6326,9072,8726,977
48,4821,686,8230,1885,2363,4505
49,6863,2186,888,2534,5115,3136
50,1629,1727,1731,449,620,614
51,3748,422,8592,1418,540,5804
52,1908,1086,611,2199,8590,4541
53,122,1895,5338,6802,401,539
54,2106,1111,346,8622,3793,339
55,5115,4821,1885,2534,3373,8726
56,836,888,2363,10224,977,1727
57,4505,4638,116,422,5804,1629
58,4541,6326,611,3748,686,449
59,540,614,2890,1908,8592,122
60,3359,1731,1895,3793,3136,1111
61,5338,346,620,401,2199,2186
62,8230,6213,2106,9072,539,6863
63,339,1086,8590,1418,6802,8622
64,1727,2363,2534,611,4638,422
65,888,122,4821,116,5804,449
66,1885,3136,540,10224,614,3359
67,346,1895,836,5338,4505,1908
68,9072,6326,2199,539,8592,1731
69,8590,3748,6802,2186,8726,2106
70,8230,977,3793,2890,620,1086
71,6213,8622,3373,686,1418,401
72,5115,1629,4541,1111,339,6863
73,5804,1908,10224,5338,611,614
74,8592,540,346,4638,1895,1727
75,422,539,2534,2363,6802,3136
76,4505,1086,3793,620,1885,9072
77,977,8590,3373,1731,122,6213
78,2186,449,1111,1418,836,6863
79,339,2890,5115,1629,6326,3748
80,8726,8230,2199,888,686,3359
81,116,401,8622,4541,2106,4821
82,8592,9072,2363,1908,6802,620
83,1086,3136,977,611,122,3793
84,1895,422,1885,346,6863,8590
85,4505,449,2534,6326,2890,10224
86,8726,5338,1731,686,1727,339
87,5804,2106,8622,540,2186,1629
88,3373,1111,401,2199,888,3748
89,614,6213,4541,836,8230,5115
90,3359,539,4638,4821,116,1418
91,6802,422,346,6326,449,977
92,2534,620,122,1895,1908,8726
93,5804,686,2890,6863,1727,2106
94,888,1111,8622,611,1885,339
95,6213,9072,5338,4541,8230,540
96,4505,10224,1629,1731,2186,1418
97,614,3373,3748,539,116,1086
98,5115,2199,2363,401,3359,3136
99,8592,3793,4638,836,4821,8590
100,1895,8622,686,422,2890,888
101,122,5804,6326,6213,1111,620
102,1418,2534,611,8230,9072,1727
103,8726,539,540,1086,346,2186
104,1629,2106,449,1885,2199,5338
105,3136,339,1908,4638,4821,401
106,6863,614,977,3359,8590,4505
107,5115,1731,6802,3748,836,116
108,3793,10224,2363,3373,8592,4541